sitemap_url,normalized_url,crawled,canonical_host,https,trailing_slash
https://www.the-pool-lab.com/blog/best-robotic-pool-cleaner-for-deep-pools,https://www.the-pool-lab.com/blog/best-robotic-pool-cleaner-for-deep-pools,yes,yes,yes,no
https://www.the-pool-lab.com/blog/dolphin-nautilus-cc-plus-vs-polaris-9650iq-sport,https://www.the-pool-lab.com/blog/dolphin-nautilus-cc-plus-vs-polaris-9650iq-sport,yes,yes,yes,no
https://www.the-pool-lab.com/best-of/overall,https://www.the-pool-lab.com/best-of/overall,yes,yes,yes,no
https://www.the-pool-lab.com/best-of/value,https://www.the-pool-lab.com/best-of/value,yes,yes,yes,no
https://www.the-pool-lab.com/best-of/leaves,https://www.the-pool-lab.com/best-of/leaves,yes,yes,yes,no
https://www.the-pool-lab.com/best-of/above-ground,https://www.the-pool-lab.com/best-of/above-ground,yes,yes,yes,no
https://www.the-pool-lab.com/best-of/vinyl,https://www.the-pool-lab.com/best-of/vinyl,yes,yes,yes,no
https://www.the-pool-lab.com/best-of/inground,https://www.the-pool-lab.com/best-of/inground,yes,yes,yes,no
https://www.the-pool-lab.com/reviews/Dolphin-Nautilus-CC-Plus,https://www.the-pool-lab.com/reviews/Dolphin-Nautilus-CC-Plus,yes,yes,yes,no
https://www.the-pool-lab.com/reviews/Dolphin-Premier,https://www.the-pool-lab.com/reviews/Dolphin-Premier,yes,yes,yes,no
https://www.the-pool-lab.com/reviews/Dolphin-Nautilus-Titan,https://www.the-pool-lab.com/reviews/Dolphin-Nautilus-Titan,yes,yes,yes,no
https://www.the-pool-lab.com/reviews/Dolphin-Sigma,https://www.the-pool-lab.com/reviews/Dolphin-Sigma,yes,yes,yes,no
https://www.the-pool-lab.com/reviews/Polaris-9650iQ-Sport,https://www.the-pool-lab.com/reviews/Polaris-9650iQ-Sport,yes,yes,yes,no
https://www.the-pool-lab.com/reviews/Polaris-F9550-Sport,https://www.the-pool-lab.com/reviews/Polaris-F9550-Sport,yes,yes,yes,no
https://www.the-pool-lab.com/reviews/Polaris-P39,https://www.the-pool-lab.com/reviews/Polaris-P39,yes,yes,yes,no
https://www.the-pool-lab.com/reviews/Hayward-TigerShark-QC,https://www.the-pool-lab.com/reviews/Hayward-TigerShark-QC,yes,yes,yes,no
https://www.the-pool-lab.com/reviews/Hayward-SharkVac-XL,https://www.the-pool-lab.com/reviews/Hayward-SharkVac-XL,yes,yes,yes,no
https://www.the-pool-lab.com/reviews/Hayward-W3PVS20JST-Poolvergnuegen,https://www.the-pool-lab.com/reviews/Hayward-W3PVS20JST-Poolvergnuegen,yes,yes,yes,no
https://www.the-pool-lab.com/reviews/Pentair-Prowler-930,https://www.the-pool-lab.com/reviews/Pentair-Prowler-930,yes,yes,yes,no
https://www.the-pool-lab.com/reviews/Aiper-Scuba-S1,https://www.the-pool-lab.com/reviews/Aiper-Scuba-S1,yes,yes,yes,no
https://www.the-pool-lab.com/reviews/Aiper-Seagull-Pro,https://www.the-pool-lab.com/reviews/Aiper-Seagull-Pro,yes,yes,yes,no
https://www.the-pool-lab.com/reviews/BWT-Pool-Robot-ES-Nano,https://www.the-pool-lab.com/reviews/BWT-Pool-Robot-ES-Nano,yes,yes,yes,no
https://www.the-pool-lab.com/reviews/Beatbot-AquaSense-2,https://www.the-pool-lab.com/reviews/Beatbot-AquaSense-2,yes,yes,yes,no
